Type	Allocations	Bytes
 - System.Collections.Hashtable.HashtableEnumerator	3	168
 - System.Collections.Generic.EnumEqualityComparer<>	3	72
 - System.Collections.Concurrent.ConcurrentDictionary<,>.Node	3	144
 - ODataWriterVsSystemTextJson.ExperimentServer	3	168
 - Microsoft.OData.ODataWriterCore.Scope[]	3	168
 - Microsoft.OData.Json.JsonWriter.Scope[]	3	168
 - Microsoft.OData.Edm.VersioningDictionary<,>.TreeDictionary	3	96
 - Microsoft.OData.Edm.IEdmStructuralProperty[]	3	112
 - Microsoft.OData.Edm.EdmPathTypeKind	3	72
 - Microsoft.OData.Edm.EdmCoreModelPathType	3	96
 - Microsoft.OData.Edm.EdmCollectionTypeReference	3	96
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlDecimalTypeReference	3	288
 - System.Xml.XmlTextWriter.State[]	2	880
 - System.UInt64[]	2	360
 - System.Threading.ThreadAbortException	2	256
 - System.Threading.Thread	2	144
 - System.Threading.IOCompletionCallback	2	128
 - System.Threading.ExecutionContext	2	80
 - System.Threading.ContextCallback	2	128
 - System.Text.RegularExpressions.RegexFC	2	64
 - System.Text.EncoderExceptionFallback	2	48
 - System.Text.DecoderExceptionFallback	2	48
 - System.RuntimeType.RuntimeTypeCache.MemberInfoCache<>	2	112
 - System.Runtime.InteropServices.GCHandle[]	2	80
 - System.Resources.ResourceFallbackManager	2	80
 - System.Reflection.RuntimePropertyInfo	2	208
 - System.Net.IPEndPoint	2	64
 - System.IO.StreamWriter	2	208
 - System.IO.BinaryReader	2	128
 - System.Globalization.CompareInfo	2	112
 - System.Enum.EnumInfo	2	80
 - System.Collections.Specialized.NameObjectCollectionBase.NameObjectEntry	2	64
 - System.Boolean[]	2	62
 - System.Boolean	2	48
 - Microsoft.OData.WriterValidator	2	48
 - Microsoft.OData.PropertyCache[]	2	80
 - Microsoft.OData.PropertyCache	2	48
 - Microsoft.OData.ODataWriterCore.Scope	2	160
 - Microsoft.OData.ODataResponseMessage	2	112
 - Microsoft.OData.ODataMessageWriterSettings	2	288
 - Microsoft.OData.ODataMessageQuotas	2	80
 - Microsoft.OData.ODataContextUriBuilder	2	64
 - Microsoft.OData.MediaTypeUtils.<>c__DisplayClass14_0	2	64
 - Microsoft.OData.Edm.Vocabularies.EdmDirectValueAnnotationsManager	2	96
 - Microsoft.OData.Edm.IEdmEntityContainerElement[]	2	80
 - Microsoft.OData.Edm.ExtensionMethods.<Properties>d__101	2	112
 - Microsoft.OData.Edm.EdmEntityTypeReference	2	64
 - Microsoft.OData.Edm.EdmDecimalTypeReference	2	96
 - Microsoft.OData.Edm.EdmComplexTypeReference	2	64
 - Microsoft.OData.Edm.Csdl.Parsing.Common.EdmXmlDocumentParser<>.<>c	2	48
 - Microsoft.OData.Edm.Csdl.Parsing.Ast.CsdlNavigationProperty[]	2	80
 - Windows.Foundation.Diagnostics.TracingStatusChangedEventArgs	1	24
 - System.Xml.SafeAsciiDecoder	1	32
 - System.WeakReference<>	1	24
 - System.Type.<>c	1	24
 - System.Threading.Tasks.TplEventSource	1	176
 - System.Threading.Tasks.TaskFactory	1	40
 - System.Threading.Tasks.Task.<>c	1	24
 - System.Threading.Tasks.Task	1	64
 - System.Threading.IAsyncLocal[]	1	24
 - System.Threading.AsyncLocalValueMap.EmptyAsyncLocalValueMap	1	24
 - System.Text.RegularExpressions.RegexTree	1	64
 - System.Text.RegularExpressions.RegexPrefix	1	32
 - System.Text.RegularExpressions.RegexInterpreter	1	136
 - System.Text.RegularExpressions.RegexFC[]	1	280
 - System.Text.RegularExpressions.RegexCode	1	88
 - System.Text.RegularExpressions.RegexCharClass.LowerCaseMapping[]	1	1,152
 - System.Text.RegularExpressions.Regex	1	104
 - System.Text.RegularExpressions.Match	1	112
 - System.Text.RegularExpressions.ExclusiveReference	1	40
 - System.Text.OSEncoding	1	64
 - System.Text.OSEncoder	1	48
 - System.Text.InternalEncoderBestFitFallback	1	32
 - System.Text.InternalDecoderBestFitFallback	1	40
 - System.Text.EncoderNLS	1	48
 - System.Text.CodePageDataItem[]	1	88
 - System.Text.CodePageDataItem	1	64
 - System.String[][]	1	920
 - System.StackOverflowException	1	128
 - System.Single[]	1	68
 - System.Security.Cryptography.RandomNumberGeneratorImplementation	1	24
 - System.Resources.SatelliteContractVersionAttribute[]	1	24
 - System.Resources.RuntimeResourceSet	1	72
 - System.Resources.ResourceReader	1	128
 - System.Resources.ResourceManager.ResourceManagerMediator	1	24
 - System.Resources.ResourceManager.CultureNameResourceSetPair	1	32
 - System.Resources.ResourceManager	1	128
 - System.Resources.NeutralResourcesLanguageAttribute[]	1	24
 - System.Resources.ManifestBasedResourceGroveler	1	24
 - System.Resources.FastResourceComparer	1	24
 - System.Reflection.RuntimePropertyInfo[][]	1	80
 - System.Reflection.Missing	1	24
 - System.Reflection.CerHashtable<,>.Table	1	40
 - System.OutOfMemoryException	1	128
 - System.OrdinalIgnoreCaseComparer	1	24
 - System.OrdinalCaseSensitiveComparer	1	24
 - System.OperatingSystem	1	48
 - System.Net.WebHeaderCollection	1	96
 - System.Net.NetEventSource	1	168
 - System.Net.NetEventSource	1	168
 - System.Net.NetEventSource	1	168
 - System.Net.LazyAsyncResult.ThreadContext	1	24
 - System.Net.HttpResponseStream	1	64
 - System.Net.HttpListenerResponse	1	656
 - System.Net.HttpListenerRequestUriBuilder	1	88
 - System.Net.HttpListenerRequest	1	200
 - System.Net.HttpListenerContext	1	72
 - System.Net.HttpListener.<>c	1	24
 - System.Net.CaseInsensitiveAscii	1	24
 - System.Net.CaseInsensitiveAscii	1	24
 - System.Linq.Lookup<,>	1	48
 - System.Linq.Grouping<,>[]	1	80
