Name	Total (Allocations)	Self (Allocations)	Self Size (Bytes)
|| - Microsoft.OData.ODataWriterCore.WriteEndImplementation()	1	1	64
|| - Microsoft.OData.ODataWriterCore.WriteStart(Microsoft.OData.ODataNestedResourceInfo)	1	1	58
|| - Microsoft.OData.ODataPreferenceHeader.ctor(Microsoft.OData.IODataResponseMessage)	1	1	56
|| - Microsoft.OData.ValidationUtils.ValidateMetadataPrimitiveType(Microsoft.OData.Edm.IEdmTypeReference, Microsoft.OData.Edm.IEdmTypeReference)	1	1	56
|| - Microsoft.OData.ODataMediaType.ToText(System.Text.Encoding)	13	1	48
|| - Microsoft.OData.MediaTypeUtils+MatchInfoConcurrentCache.ctor(int)	17	1	40
|| - Microsoft.OData.PropertyMetadataTypeInfo.ctor(Microsoft.OData.Edm.IEdmModel, string, Microsoft.OData.Edm.IEdmStructuredType)	35	1	40
|| - Microsoft.OData.HttpUtils.CompareMediaTypeParameterNames(string, string)	4	1	40
|| - Microsoft.OData.ODataResourceTypeContext+ODataResourceTypeContextWithModel.ctor(Microsoft.OData.Edm.IEdmNavigationSource, Microsoft.OData.Edm.IEdmEntityType, Microsoft.OData.Edm.IEdmStructuredType)	1	1	40
|| - Microsoft.OData.UriParser.ExceptionUtil.ThrowIfTypesUnrelated(Microsoft.OData.Edm.IEdmType, Microsoft.OData.Edm.IEdmType, string)	1	1	40
|| - Microsoft.OData.Metadata.EdmLibraryExtensions.ToTypeReference(Microsoft.OData.Edm.IEdmType, bool)	1	1	32
|| - Microsoft.OData.Metadata.EdmLibraryExtensions.ConvertToUnderlyingTypeIfUIntValue(Microsoft.OData.Edm.IEdmModel, object, Microsoft.OData.Edm.IEdmTypeReference)	2	1	30
|| - Microsoft.OData.JsonLight.JsonLightMetadataLevel.Create(Microsoft.OData.ODataMediaType, System.Uri, bool, Microsoft.OData.Edm.IEdmModel, bool)	2	1	24
|| - Microsoft.OData.JsonLight.JsonMinimalMetadataLevel.GetTypeNameOracle()	1	1	24
|| - Microsoft.OData.ODataMediaType.cctor()	1	1	24
|| - Microsoft.OData.ODataPayloadValueConverter.cctor()	1	1	24
|| - Microsoft.OData.ODataResourceBase.cctor()	1	1	24
|| - Microsoft.OData.ODataWriterCore.cctor()	1	1	24
|| - Microsoft.OData.ODataWriterCore.WriteStartNestedResourceInfoImplementation(Microsoft.OData.ODataNestedResourceInfo)	310,071	0	0
|| - Microsoft.OData.ODataWriterCore.WriteEnd()	120,096	0	0
|| - Microsoft.OData.Json.JsonWriter.WriteName(string)	132,135	0	0
|| - Microsoft.OData.Json.JsonValueUtils.CheckIfStringHasSpecialChars(string, Microsoft.OData.Json.ODataStringEscapeOption, ref int)	130,920	0	0
|| - Microsoft.OData.DuplicatePropertyNameChecker.ValidatePropertyUniqueness(Microsoft.OData.ODataPropertyInfo)	40,000	0	0
|| - Microsoft.OData.ODataWriterCore+ResourceBaseScope.GetOrCreateTypeContext(bool)	20,000	0	0
|| - Microsoft.OData.ODataWriterCore.get_CurrentResourceSetValidator()	20,000	0	0
|| - Microsoft.OData.ODataWriterCore.CreateKeyValuePair(System.Collections.Generic.List<System.Collections.Generic.KeyValuePair<string, object>>, Microsoft.OData.ODataProperty, object)	10,000	0	0
|| - Microsoft.OData.Metadata.EdmLibraryExtensions.GetCollectionTypeName(string)	5,000	0	0
|| - Microsoft.OData.Json.JsonValueUtils.WriteValue(System.IO.TextWriter, int)	5,078	0	0
|| - Microsoft.OData.SimpleLazy<T>.get_Value()	48	0	0
|| - Microsoft.OData.MediaTypeUtils.GetEncoding(string, Microsoft.OData.ODataPayloadKind, Microsoft.OData.ODataMediaType, bool)	24	0	0
|| - Microsoft.OData.ODataPreferenceHeader.get_AnnotationFilter()	13	0	0
|| - Microsoft.OData.Json.JsonValueUtils.InitializeODataNumberFormatInfo()	7	0	0
|| - Microsoft.OData.ODataOutputContext.ctor(Microsoft.OData.ODataFormat, Microsoft.OData.ODataMessageInfo, Microsoft.OData.ODataMessageWriterSettings)	10	0	0
|| - Microsoft.OData.JsonLight.ODataJsonLightWriter.EndResourceSet(Microsoft.OData.ODataResourceSet)	8	0	0
|| - Microsoft.OData.ODataFormat.get_Batch()	8	0	0
|| - Microsoft.OData.ODataMediaType.SelectEncoding.AnonymousMethod__14_0(System.Collections.Generic.KeyValuePair<string, string>)	4	0	0
|| - Microsoft.OData.ValidationUtils.ValidateCollectionType(Microsoft.OData.Edm.IEdmTypeReference)	2	0	0
|| - Microsoft.OData.HttpHeaderValueLexer+HttpHeaderStart.ReadNext()	2	0	0
|| - Microsoft.OData.JsonLightInstanceAnnotationWriter.ctor(Microsoft.OData.JsonLight.ODataJsonLightValueSerializer, Microsoft.OData.JsonLight.JsonLightTypeNameOracle)	2	0	0
|| - Microsoft.OData.Json.JsonWriter.WriteValueSeparator()	2	0	0
|| - Microsoft.OData.JsonLight.ODataJsonLightWriterUtils.WriteInstanceAnnotationName(Microsoft.OData.Json.IJsonWriter, string)	1	0	0
| - system.private.corelib.il.dll	1,710,780	402,079	18,642,311
